ID,label-0,label-1
92.nii.gz,0.4,0.6
93.nii.gz,0.2,0.8
94.nii.gz,0.4,0.6
95.nii.gz,1.0,0.0
96.nii.gz,0.2,0.8
97.nii.gz,0.8,0.2
98.nii.gz,0.8,0.2
99.nii.gz,0.6,0.4
100.nii.gz,1.0,0.0
101.nii.gz,0.4,0.6
102.nii.gz,1.0,0.0
103.nii.gz,0.6,0.4
104.nii.gz,1.0,0.0
105.nii.gz,0.8,0.2
106.nii.gz,0.2,0.8
107.nii.gz,1.0,0.0
108.nii.gz,0.4,0.6
109.nii.gz,0.8,0.2
110.nii.gz,0.8,0.2
111.nii.gz,0.6,0.4
112.nii.gz,0.6,0.4
113.nii.gz,0.4,0.6
114.nii.gz,0.6,0.4
115.nii.gz,0.6,0.4
116.nii.gz,0.4,0.6
117.nii.gz,0.6,0.4
118.nii.gz,0.8,0.2
119.nii.gz,0.6,0.4
120.nii.gz,0.8,0.2
121.nii.gz,0.6,0.4
122.nii.gz,0.6,0.4
123.nii.gz,1.0,0.0
124.nii.gz,0.8,0.2
125.nii.gz,0.4,0.6
126.nii.gz,1.0,0.0
127.nii.gz,0.6,0.4
128.nii.gz,1.0,0.0
129.nii.gz,0.6,0.4
130.nii.gz,0.4,0.6
131.nii.gz,0.8,0.2
132.nii.gz,0.6,0.4
133.nii.gz,0.4,0.6
134.nii.gz,0.4,0.6
135.nii.gz,0.6,0.4
136.nii.gz,1.0,0.0
137.nii.gz,0.8,0.2
138.nii.gz,0.6,0.4
139.nii.gz,1.0,0.0
140.nii.gz,0.6,0.4
141.nii.gz,0.4,0.6
142.nii.gz,1.0,0.0
143.nii.gz,1.0,0.0
144.nii.gz,1.0,0.0
145.nii.gz,0.8,0.2
146.nii.gz,1.0,0.0
147.nii.gz,0.8,0.2
148.nii.gz,0.8,0.2
149.nii.gz,0.4,0.6
150.nii.gz,0.0,1.0
151.nii.gz,0.4,0.6
152.nii.gz,0.8,0.2
153.nii.gz,0.8,0.2
154.nii.gz,1.0,0.0
155.nii.gz,0.6,0.4
156.nii.gz,1.0,0.0
157.nii.gz,0.4,0.6
158.nii.gz,0.2,0.8
159.nii.gz,1.0,0.0
160.nii.gz,1.0,0.0
161.nii.gz,1.0,0.0
162.nii.gz,0.6,0.4
163.nii.gz,0.4,0.6
164.nii.gz,0.8,0.2
165.nii.gz,1.0,0.0
166.nii.gz,0.6,0.4
167.nii.gz,1.0,0.0
168.nii.gz,0.8,0.2
169.nii.gz,1.0,0.0
170.nii.gz,1.0,0.0
171.nii.gz,0.4,0.6
172.nii.gz,0.8,0.2
173.nii.gz,0.6,0.4
174.nii.gz,0.4,0.6
175.nii.gz,1.0,0.0
176.nii.gz,1.0,0.0
177.nii.gz,1.0,0.0
178.nii.gz,0.4,0.6
179.nii.gz,1.0,0.0
180.nii.gz,0.6,0.4
181.nii.gz,0.8,0.2
182.nii.gz,0.6,0.4
183.nii.gz,0.4,0.6
184.nii.gz,0.8,0.2
185.nii.gz,0.6,0.4
186.nii.gz,0.4,0.6
187.nii.gz,0.6,0.4
